item,name_in_test,tempus,alp
FR0002,BMC Road,3094.5,2964
FR0003,BMC SLR01,3093.5,2947
FR0001,BMC TeamMach,3089.5,2942.5
FR0004,Bridgestn SR9s,3093,2937.5
FR0005,Cann CAAD12,3095,2970.5
FR0006,Cann EVO,3093,2934.5
FR0007,Cann SuperSix EVO,3090,2940
FR0008,Cann Synapse,3093.5,2951
FR0009,Cann SystemSix,3080,2964.5
FR0010,Canyon Aero,3081.5,2960
FR0011,Canyon Aero 2021,3079,2941
FR0012,Canyon Ult,3093,2940
FR0013,Canyon Ult CFR,3092,2935
FR0014,Cervelo R5,3093.5,2941.5
FR0015,Cervelo S3D,3083.5,2972.5
FR0016,Cervelo S5,3079,2950
FR0017,Cervelo S5 2020,3077,2949
FR0019,Chapter2 Rere,3088,2963
FR0020,Chapter2 Tere,3093.5,2941.5
FR0021,Chapter2 Toa,3080,2943
FR0022,Colnago V3RS,3094,2951.5
FR0023,Cube Lite,3094,2942
FR0024,Cube Lite C:68X,3093,2936
FR0025,Factor One,3084.5,2966
FR0026,Felt AR,3077,2946
FR0027,Felt FR,3090,2940
FR0028,Focus Izalco,3082.5,2950
FR0029,Giant Propel,3081.5,2954.5
FR0031,Giant TCR,3091.5,2945.5
NOT_IN_DS,Giant TCR Disc,3091,2959
FR0032,Liv Langma,3094,2945.5
FR0033,Liv Langma Disc,3089.5,2945
FR0034,Moots Vamoots,3094.5,2975
FR0035,Mosaic RT-1d,3094.5,2975
FR0036,Parlee ESX,3091.5,2959.5
FR0037,Parlee RZ7,3086,2961
FR0038,Pin Dogma 65.1,3091.5,2972
FR0039,Pin Dogma F,3080,2939
FR0040,Pin Dogma F10,3086,2952.5
FR0041,Pin Dogma F12,3083,2949
FR0042,Pin Dogma F8,3091,2955
FR0043,Ribble End,3087,2966
FR0044,Rid Helium,3094,2958
FR0045,Rid Noah Fast,3083.5,2964.5
FR0046,Scott Addict RC,3082.5,2935
FR0047,Scott Foil,3088,2952.5
FR0049,Spec Aethos,3093,2930
FR0050,Spec Allez,3094.5,2973.5
FR0051,Spec Allez Spr,3083,2953
FR0052,Spec Amira,3093.5,2946
FR0053,Spec Amira S-Works,3093.5,2940
FR0054,Spec Roub,3094,2955
FR0055,Spec Roub S-Works,3093,2946.5
FR0056,Spec Ruby,3094,2955
FR0057,Spec Ruby S-Works,3093.5,2946.5
FR0058,Spec Tarmac,3093.5,2941
FR0059,Spec Tarmac Pro,3093,2936
FR0060,Spec Tarmac SL7,3090,2958
FR0061,Spec Venge,3080,2963
FR0062,Spec Venge S-Works,3077,2946
FR0063,Trek Emonda,3093.5,2938
FR0064,Trek Emonda SL,3094,2943
FR0065,Trek Madone,3079,2952
FR0066,Uran Nuclear,3077,2949
FR0067,Van Rysel EDR,3094.5,2960
FR0069,Zwift Aero,3085,2968
FR0070,Zwift Buffalo,3106,3065.5
FR0071,Zwift Carbon,3096,2987
FR0073,Zwift Safety,3097,3006.5
FR0074,Zwift Steel,3099.5,2995.5
FT0002,CADEX Tri,2976.5,3006.5
FT0004,Canyon Speedmax CF SLX,2981,3009
FT0010,Felt IA 2.0,2983,3001
FT0015,Scott Plasma RC Ultimate,2983,3001
FT0009,Felt IA,2984,3009.5
FT0006,Cervelo PX-Series,2984.5,3010
FT0019,Trek Speed Concept SLR 9,2985.5,3042
FT0017,Specialized Shiv Disc,2986,3011
FT0005,Cervelo P5,2991,3003.5
FT0020,Ventum One,2994.5,3035
FT0001,BMC Time Machine,2998,3012
FT0003,Canyon Speedmax,2998,3012.5
FT0008,Diamondback Andean,2998,3007.5
FT0013,Quintana Roo V-PR,2998,3010
FT0014,Scott Plasma,2998,3003
FT0016,Specialized Shiv,2998,3011
FT0018,Specialized Shiv S-Works,2998,3002
FT0007,Cube Aerium,2998.5,3010.5
FT0011,Pinarello Bolide,2999,3020
FT0012,Pinarello Bolide TT,2999,3021
FT0021,Zwift TT,3016,3027
WR0036,32mm Carbon,3085,2968
WR0037,50mm Carbon,3072.5,2969
WR0001,Bont.Aeolus5,3066,2964
WR0002,CADEX 36,3078.5,2959.5
WR0003,CADEX 42,3069,2962
WR0004,CADEX 65,3050.5,2961
WR0005,Campy Bora 35,3085.5,2961.5
WR0006,Campy Bora 50,3059,2961.5
WR0007,DT Swiss ARC 62,3051,2960.5
WR0008,DT Swiss ARC 62 Dicut Disc,3025.5,2979
WR0009,ENVE 2.2,3085,2961.5
WR0010,ENVE 3.4,3059,2960
WR0011,ENVE 6.7,3053,2968
WR0012,ENVE 7.8,3040.5,2964
WR0013,ENVE 8.9,3041.5,2972.5
WR0015,Giant SLR 0,3062,2960.5
WR0017,Lightweight Meil,3071.5,2952
WR0018,Mavic Comete Pro,3059.5,2978.5
WR0019,Mavic Cosmic CXR60c,3063.5,2976.5
WR0020,Mavic Cosmic Ult,3066,2974
WR0022,Roval Alpinist,3072,2952
WR0023,Roval CLX64,3055,2968
WR0024,Roval Rapide,3055,2963
WR0025,Shimano C40,3073,2971.5
WR0026,Shimano C50,3071,2975.5
WR0027,Shimano C60,3062,2979
WR0028,Zipp 202,3080,2962.5
WR0033,Zipp 353 NSW,3056,2960
WR0029,Zipp 404,3052,2964
WR0030,Zipp 454,3049,2961
WR0031,Zipp 808,3043,2970
WR0034,Zipp 808/Super9,3034,2979
WR0032,Zipp 858,3039,2967
WR0035,Zipp 858/Super9,3032,2978
WR0038,Zwift Buffalo,3090,2975
WR0039,Zwift Classic,3091,2976
WR0040,Zwift Safety,3085.5,2967.5
