make_f	model_f	make_w	model_w	class	drops	level	tempus	alp
BMC	Teammachine	Bontrager	Aeolus 5	road	1003300	26	3070.5	2938.5
BMC	Teammachine	CADEX	36	road	1090300	26	3083	2934
BMC	Teammachine	CADEX	42	road	1060100	26	3073.5	2936.5
BMC	Teammachine	CADEX	65	road	1074300	26	3055	2935.5
BMC	Teammachine	Campagnolo	Bora Ultra 35	road	1081400	33	3090	2936
BMC	Teammachine	Campagnolo	Bora Ultra 50	road	1095600	27	3063.5	2936
BMC	Teammachine	DT Swiss	ARC 1100 DICUT 62	road	1017500	26	3055.5	2935
BMC	Teammachine	DT Swiss	ARC 1100 DICUT DISC	road	2412700	42	3030	2953.5
BMC	Teammachine	ENVE	SES 2.2	road	1024600	26	3089.5	2936
BMC	Teammachine	ENVE	SES 3.4	road	1024600	26	3063.5	2934.5
BMC	Teammachine	ENVE	SES 6.7	road	1024600	26	3057.5	2942.5
BMC	Teammachine	ENVE	SES 7.8	road	1038800	39	3045	2938.5
BMC	Teammachine	ENVE	SES 8.9	road	1038800	31	3046	2947
BMC	Teammachine	Giant	SLR 0	road	1024700	26	3066.5	2935
BMC	Teammachine	Lightweight	Meilenstein	road	832900	26	3076	2926.5
BMC	Teammachine	Mavic	Comete Pro Carbon SL UST	road	974900	26	3064	2953
BMC	Teammachine	Mavic	Cosmic CXR60c	road	974900	26	3068	2951
BMC	Teammachine	Mavic	Cosmic Ultimate UST	road	974900	26	3070.5	2948.5
BMC	Teammachine	Roval	Alpinist CLX	road	968200	32	3076.5	2926.5
BMC	Teammachine	Roval	CLX64	road	1003300	26	3059.5	2942.5
BMC	Teammachine	Roval	Rapide CLX	road	1028200	26	3059.5	2937.5
BMC	Teammachine	Shimano	C40	road	918200	26	3077.5	2946
BMC	Teammachine	Shimano	C50	road	921600	28	3075.5	2950
BMC	Teammachine	Shimano	C60	road	925200	26	3066.5	2953.5
BMC	Teammachine	ZIPP	202	road	982100	26	3084.5	2937
BMC	Teammachine	ZIPP	404	road	982100	26	3056.5	2938.5
BMC	Teammachine	ZIPP	454	road	1116900	26	3053.5	2935.5
BMC	Teammachine	ZIPP	808	road	1010500	26	3047.5	2944.5
BMC	Teammachine	ZIPP	858	road	1145300	37	3043.5	2941.5
BMC	Teammachine	ZIPP	353 NSW	road	1088500	26	3060.5	2934.5
BMC	Teammachine	ZIPP	808/Super9	road	1908600	35	3038.5	2953.5
BMC	Teammachine	ZIPP	858/Super9	road	2341700	45	3036.5	2952.5
BMC	Teammachine	Zwift	32mm Carbon	road	832900	26	3089.5	2942.5
BMC	Teammachine	Zwift	50mm Carbon	road	953600	26	3077	2943.5
BMC	Teammachine	Zwift	Buffalo Fahrrad	road	836100	40	3094.5	2949.5
BMC	Teammachine	Zwift	Classic	road	868500	26	3095.5	2950.5
BMC	Teammachine	Zwift	Safety	road	1542900	44	3090	2942
BMC	Roadmachine	Bontrager	Aeolus 5	road	951300	21	3075.5	2960
BMC	Roadmachine	CADEX	36	road	1038300	26	3088	2955.5
BMC	Roadmachine	CADEX	42	road	1008100	21	3078.5	2958
BMC	Roadmachine	CADEX	65	road	1022300	21	3060	2957
BMC	Roadmachine	Campagnolo	Bora Ultra 35	road	1029400	33	3095	2957.5
BMC	Roadmachine	Campagnolo	Bora Ultra 50	road	1043600	27	3068.5	2957.5
BMC	Roadmachine	DT Swiss	ARC 1100 DICUT 62	road	965500	21	3060.5	2956.5
BMC	Roadmachine	DT Swiss	ARC 1100 DICUT DISC	road	2360700	42	3035	2975
BMC	Roadmachine	ENVE	SES 2.2	road	972600	21	3094.5	2957.5
BMC	Roadmachine	ENVE	SES 3.4	road	972600	21	3068.5	2956
BMC	Roadmachine	ENVE	SES 6.7	road	972600	25	3062.5	2964
BMC	Roadmachine	ENVE	SES 7.8	road	986800	39	3050	2960
BMC	Roadmachine	ENVE	SES 8.9	road	986800	31	3051	2968.5
BMC	Roadmachine	Giant	SLR 0	road	972700	22	3071.5	2956.5
BMC	Roadmachine	Lightweight	Meilenstein	road	780900	21	3081	2948
BMC	Roadmachine	Mavic	Comete Pro Carbon SL UST	road	922900	23	3069	2974.5
BMC	Roadmachine	Mavic	Cosmic CXR60c	road	922900	21	3073	2972.5
BMC	Roadmachine	Mavic	Cosmic Ultimate UST	road	922900	21	3075.5	2970
BMC	Roadmachine	Roval	Alpinist CLX	road	916200	32	3081.5	2948
BMC	Roadmachine	Roval	CLX64	road	951300	21	3064.5	2964
